,허리둘레,수축기혈압,이완기혈압,공복혈당,중성지방,HDL
허리둘레,0.9999999999999999,0.280413603276472,0.2432080912265535,0.2536563969717173,0.3606179299972793,-0.41670418189877084
수축기혈압,0.280413603276472,1.0,0.6588629106989595,0.19960208753826025,0.1749616714508918,-0.10458871183993738
이완기혈압,0.24320809122655349,0.6588629106989595,1.0,0.12661635695776,0.1927535419837945,-0.08782871810637674
공복혈당,0.2536563969717173,0.19960208753826025,0.12661635695776,0.9999999999999999,0.2236097979984313,-0.16599025048728147
중성지방,0.36061792999727926,0.1749616714508918,0.19275354198379452,0.2236097979984313,1.0,-0.46909792069249157
HDL,-0.4167041818987709,-0.10458871183993737,-0.08782871810637673,-0.16599025048728147,-0.46909792069249157,1.0
