효소,흡연상태,N,평균,표준편차,중앙값,Q1,Q3
AST,비흡연,205365,26.16932047817301,14.090628761887203,24.0,20.0,29.0
AST,과거흡연,57060,27.66342446547494,14.639219713881191,25.0,21.0,31.0
AST,현재흡연,52531,26.325198454246063,15.445647002413654,24.0,20.0,29.0
ALT,비흡연,205365,23.806130548048596,16.222985777376675,20.0,15.0,27.0
ALT,과거흡연,57060,28.32961794602173,18.937808997978063,24.0,18.0,33.0
ALT,현재흡연,52531,27.854428813462526,19.059822370766952,23.0,17.0,33.0
GGT,비흡연,205365,23.62259878752465,13.680511613267804,19.0,14.0,28.0
GGT,과거흡연,57060,30.980704521556255,15.95418227941751,27.0,19.0,39.0
GGT,현재흡연,52531,34.53433210865965,17.03718334844537,30.0,21.0,45.0
